,page_id,page_name,page_handle,page_url,page_description,page_category,page_verified,page_created_date,page_profile_image,page_follower_count,topAdminCountry,languageCode
198,100064554738103,Niške Vesti,niskevesti,https://www.facebook.com/156289494402851,Broj 1 za vesti iz Niša,NEWS_SITE,0,2010-10-08 21:58:20,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/336557775_904369737508273_5498862854022711489_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=INoto0dRrIAAX9Qz18c&_nc_ht=scontent-sea1-1.xx&oh=00_AfBEs6yr2JhHZBBw90-Y1BURJhbntR4VO0nG7i6mL-oXYQ&oe=65EF8B40,114387,RS,hr
399,100064563765041,Moja lepa bašta,mojalepabasta,https://www.facebook.com/187192434646763,http://www.lepaisrecna.rs/moja-lepa-basta/index.1.html,NEWS_SITE,0,2011-02-10 17:02:47,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/270355812_5160693260629964_2027757204684760066_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=84VJjPo6qloAX-8EANl&_nc_ht=scontent-sea1-1.xx&oh=00_AfCVzVGT7yVH7N8CQYn4jwWfCmRs7uCKtCPSJ_8U7z7Edw&oe=65EFC0ED,124042,RS,hr
13111,100064633063895,Звездине Вести,vestizvezdine,https://www.facebook.com/761328803884676,"Pratite sve vesti iz sportskog društva Crvena zvezda
",MEDIA_NEWS_COMPANY,0,2013-11-11 11:23:13,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/339929103_6163638460346545_4117925765902644668_n.jpg?stp=c0.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=106&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Mt5eGQiQUdAAX8uGOYm&_nc_oc=AQkwRYiSABXrlntlkagUHtmd6Cj8Eu8iNbQ180KsEbEJVbRkYJjQPYlkKzDrcqV_zZg&_nc_ht=scontent-sea1-1.xx&oh=00_AfBFDxzXHH9UKoLWLLm9n7i1fEXXhSMzxOMsbgX3rJf83A&oe=65F0533E,119807,RS,sr
819,100064672632029,Južne vesti,juznevesti,https://www.facebook.com/135856563960,Južne vesti su prvi regionalni info portal koje podiže nivo svesti građana južne Srbije i razumevanja,NEWS_SITE,0,2009-08-28 13:00:07,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/417533448_772966098202471_2448246382170723854_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=rFT2Wd-MYQ0AX_41GjS&_nc_ht=scontent-sea1-1.xx&oh=00_AfCcxkshteXaJ7V-ScGiL8xKWNVJPUbBLeowoY3pV-Haow&oe=65F09BDF,203249,RS,hr
275,100064687405051,Zadovoljna.rs,zadovoljna.rs.officialpage,https://www.facebook.com/109676424518630,Ti si dovoljna. Zadovoljna.rs,NEWS_SITE,0,2021-03-08 16:15:06,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/310684774_483227613830174_8806651138120197141_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=KBdjHaM1eUIAX8qTWKn&_nc_ht=scontent-sea1-1.xx&oh=00_AfA4sz_dbNroHTr5acEO2tSdajhmvQUboAfbZTrbHTSNGw&oe=65F0096D,72819,RS,hr
1025,100064737634701,Pobunite se,PobuniteSe,https://www.facebook.com/308560455875136,Pobunite se,NEWS_SITE,0,2012-03-01 22:05:30,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/347138286_1281464779117020_1102776338337050349_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ZbbEl_k7fXMAX-_m5R6&_nc_ht=scontent-sea1-1.xx&oh=00_AfBYu2Fgoq68Y1hCQRHA3dC2oj_V0AT1_M-0svn7AkBnoQ&oe=65EF457E,48764,RS,und
1613,100064748104719,PRVA,PRVATV,https://www.facebook.com/113613138694399,"Dobrodošli na zvaničnu FB stranu PRVE televizije! Potražite nas i na www.prva.rs
Pratite nas i na Twitteru: https://twitter.com/PrvaSrpskaTV",BROADCASTING_MEDIA_PRODUCTION,0,2010-08-26 11:17:03,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/376823410_687559676745630_2490831139761860353_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=gWvL4qAmms8AX98ledK&_nc_ht=scontent-sea1-1.xx&oh=00_AfDEY44x-aJvyjCSu6kXHdF9YpdGdZGuyKR774D3Q_aixA&oe=65F06246,795986,RS,hr
7852,100064774354166,Partizan Zivot Moj,BelgradePartizan,https://www.facebook.com/118646391525125,News & media website,NEWS_SITE,0,2010-10-02 21:13:07,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/303416201_450621197107022_4800084274408206066_n.jpg?stp=c15.0.50.50a_cp0_dst-jpg_p50x50&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Dpgyxk5hw8MAX-I9fYm&_nc_ht=scontent-sea1-1.xx&oh=00_AfCmZay_f6YM7_oeqX7RuliZCYSLW6_ubIq5xh4AsgiDow&oe=65F0B326,62628,RS,und
1248,100064781134431,BKTVnews,BKTVnews,https://www.facebook.com/128258453954536,www.bktvnews.com - Najnovije vesti iz Srbije i regiona.,MEDIA_NEWS_COMPANY,1,2011-12-11 10:33:39,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/339879820_183226444528058_605159796629407574_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=OYm1xVdvzzQAX_DQYw1&_nc_ht=scontent-sea1-1.xx&oh=00_AfA5IgHDE0-XXgrhRUSe_GS7W_JkLzT2PMrGhquJzIaUwQ&oe=65EF78C4,302892,RS,hr
895,100064786897725,Minut,republika.minut,https://www.facebook.com/287611814754354,"Republika.rs je portal nezavisne dnevne novine Srpski telegraf. Najnovije informacije na Fejsbuku - tačno, brzo, bez kompromisa - to je naš moto!",MEDIA_NEWS_COMPANY,0,2014-07-22 14:49:39,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-1/274569540_1919457844903068_6277811844200802359_n.jpg?stp=cp0_dst-jpg_p50x50&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=X8aFnJBlSKEAX-_zNKC&_nc_ht=scontent-sea1-1.xx&oh=00_AfB8y2NkaNGxtwSn4-7CrJE7Ije-RHwM96Ldx8hKpPVBQg&oe=65F0002E,149953,RS,hr
